"Source","Site_source","Target","Site_target","Transfers","Year","Week"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","2","2015","26"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","4","2015","27"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","1","2015","29"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","1","2015","30"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","3","2015","31"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","3","2015","32"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","5","2015","33"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","6","2015","34"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","7","2015","35"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","1","2015","36"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","1","2015","37"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","1","2015","39"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","3","2015","40"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","2","2015","41"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","1","2015","42"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","2","2015","43"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","2","2015","44"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","1","2015","45"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","6","2015","47"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","4","2015","48"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","1","2015","49"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","2","2015","50"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","2","2015","51"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","1","2015","52"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","4","2016","01"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","5","2016","02"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","5","2016","03"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","4","2016","04"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","3","2016","05"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","3","2016","06"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","3","2016","07"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","2","2016","08"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","5","2016","10"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","1","2016","11"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","6","2016","12"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","1","2016","13"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","4","2016","14"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","2","2016","15"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","5","2016","16"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","3","2016","17"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","3","2016","18"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","2","2016","19"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","4","2016","21"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","3","2016","22"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","4","2016","23"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","2","2016","24"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","4","2016","25"
"AcuteMedicalUnit.EAU","PRUH","Cheere","DH","1","2014","49"
"AcuteMedicalUnit.EAU","PRUH","Cheere","DH","2","2015","49"
"AcuteMedicalUnit.EAU","PRUH","ChristineBrownCriticalCare","DH","1","2014","50"
"AcuteMedicalUnit.EAU","PRUH","ChristineBrownCriticalCare","DH","1","2015","08"
"AcuteMedicalUnit.EAU","PRUH","ChristineBrownCriticalCare","DH","1","2015","20"
"AcuteMedicalUnit.EAU","PRUH","ClinicalDecisionUnit.PRUH","PRUH","1","2014","50"
"AcuteMedicalUnit.EAU","PRUH","ClinicalDecisionUnit.PRUH","PRUH","1","2015","16"
"AcuteMedicalUnit.EAU","PRUH","ClinicalDecisionUnit.PRUH","PRUH","1","2015","31"
"AcuteMedicalUnit.EAU","PRUH","ClinicalDecisionUnit.PRUH","PRUH","2","2015","34"
"AcuteMedicalUnit.EAU","PRUH","ClinicalDecisionUnit.PRUH","PRUH","1","2015","35"
"AcuteMedicalUnit.EAU","PRUH","ClinicalDecisionUnit.PRUH","PRUH","1","2015","37"
"AcuteMedicalUnit.EAU","PRUH","ClinicalDecisionUnit.PRUH","PRUH","1","2015","40"
"AcuteMedicalUnit.EAU","PRUH","ClinicalDecisionUnit.PRUH","PRUH","1","2015","42"
"AcuteMedicalUnit.EAU","PRUH","ClinicalDecisionUnit.PRUH","PRUH","2","2015","46"
"AcuteMedicalUnit.EAU","PRUH","ClinicalDecisionUnit.PRUH","PRUH","1","2015","47"
"AcuteMedicalUnit.EAU","PRUH","ClinicalDecisionUnit.PRUH","PRUH","2","2016","04"
"AcuteMedicalUnit.EAU","PRUH","ClinicalDecisionUnit.PRUH","PRUH","1","2016","10"
"AcuteMedicalUnit.EAU","PRUH","ClinicalDecisionUnit.PRUH","PRUH","1","2016","14"
"AcuteMedicalUnit.EAU","PRUH","ClinicalDecisionUnit.PRUH","PRUH","1","2016","15"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","8","2014","48"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","5","2014","49"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","4","2014","50"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","5","2014","51"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","6","2014","52"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","3","2015","00"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","7","2015","01"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","4","2015","02"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","5","2015","03"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","7","2015","04"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","4","2015","05"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","6","2015","06"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","3","2015","07"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","4","2015","08"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","3","2015","09"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","4","2015","10"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","2","2015","11"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","4","2015","12"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","8","2015","13"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","5","2015","14"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","3","2015","15"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","3","2015","16"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","4","2015","17"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","3","2015","18"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","9","2015","19"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","7","2015","20"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","5","2015","21"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","4","2015","22"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","3","2015","23"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","1","2015","24"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","4","2015","25"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","5","2015","26"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","3","2015","27"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","5","2015","28"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","4","2015","29"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","9","2015","30"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","7","2015","31"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","3","2015","32"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","10","2015","33"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","3","2015","34"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","4","2015","35"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","3","2015","36"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","9","2015","37"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","7","2015","38"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","7","2015","39"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","6","2015","40"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","5","2015","41"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","3","2015","42"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","6","2015","43"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","10","2015","44"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","8","2015","45"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","8","2015","46"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","2","2015","47"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","7","2015","48"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","5","2015","49"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","5","2015","50"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","6","2015","51"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","1","2015","52"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","4","2016","01"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","4","2016","02"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","5","2016","03"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","4","2016","04"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","3","2016","05"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","5","2016","06"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","8","2016","07"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","1","2016","08"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","5","2016","09"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","2","2016","10"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","2","2016","11"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","4","2016","12"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","2","2016","13"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","6","2016","14"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","4","2016","15"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","7","2016","16"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","4","2016","17"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","7","2016","18"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","3","2016","19"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","7","2016","20"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","4","2016","21"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","7","2016","22"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","5","2016","23"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","10","2016","24"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","5","2016","25"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.PRUH.","PRUH","1","2016","26"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.SamOram.","DH","1","2015","03"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.SamOram.","DH","1","2015","20"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.SamOram.","DH","1","2015","38"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.SamOram.","DH","1","2015","39"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.SamOram.","DH","1","2015","43"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.SamOram.","DH","1","2015","47"
"AcuteMedicalUnit.EAU","PRUH","CoronaryCareUnit.SamOram.","DH","1","2016","10"
"AcuteMedicalUnit.EAU","PRUH","Cotton","DH","1","2015","34"
"AcuteMedicalUnit.EAU","PRUH","DavidMarsden","DH","1","2015","04"
"AcuteMedicalUnit.EAU","PRUH","DavidMarsden","DH","1","2015","12"
"AcuteMedicalUnit.EAU","PRUH","DavidMarsden","DH","1","2015","48"
"AcuteMedicalUnit.EAU","PRUH","DavidMarsden","DH","1","2016","05"
"AcuteMedicalUnit.EAU","PRUH","DavidMarsden","DH","1","2016","21"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","3","2014","48"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","8","2014","49"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","5","2014","50"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","5","2014","51"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","2","2014","52"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","8","2015","00"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","4","2015","01"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","4","2015","02"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","6","2015","03"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","6","2015","05"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","7","2015","06"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","6","2015","07"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","4","2015","08"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","6","2015","09"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","10","2015","10"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","11","2015","11"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","5","2015","12"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","6","2015","13"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","5","2015","14"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","8","2015","15"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","11","2015","16"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","6","2015","17"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","3","2015","18"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","3","2015","19"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","10","2015","20"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","8","2015","21"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","14","2015","22"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","13","2015","23"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","15","2015","24"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","13","2015","25"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","11","2015","26"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","11","2015","27"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","9","2015","28"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","12","2015","29"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","8","2015","30"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","7","2015","31"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","2","2015","32"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","5","2015","33"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","5","2015","34"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","14","2015","35"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","9","2015","36"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","6","2015","37"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","11","2015","38"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","9","2015","39"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","7","2015","40"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","5","2015","41"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","7","2015","42"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","8","2015","43"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","5","2015","44"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","14","2015","45"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","9","2015","46"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","9","2015","47"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","6","2015","48"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","11","2015","49"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","6","2015","50"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","8","2015","51"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","6","2015","52"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","6","2016","00"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","13","2016","01"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","13","2016","02"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","18","2016","03"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","14","2016","04"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","13","2016","05"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","8","2016","06"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","7","2016","07"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","3","2016","08"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","2","2016","09"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","9","2016","10"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","15","2016","11"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","10","2016","12"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","8","2016","13"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","7","2016","14"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","11","2016","15"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","12","2016","16"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","9","2016","17"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","13","2016","18"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","11","2016","19"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","10","2016","20"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","6","2016","21"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","7","2016","22"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","4","2016","23"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","7","2016","24"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","12","2016","25"
"AcuteMedicalUnit.EAU","PRUH","DischargeLounge","PRUH","8","2016","26"
"AcuteMedicalUnit.EAU","PRUH","Donne","DH","1","2015","12"
"AcuteMedicalUnit.EAU","PRUH","ExitHospital","PRUH","22","2014","48"
"AcuteMedicalUnit.EAU","PRUH","ExitHospital","PRUH","32","2014","49"
"AcuteMedicalUnit.EAU","PRUH","ExitHospital","PRUH","32","2014","50"
"AcuteMedicalUnit.EAU","PRUH","ExitHospital","PRUH","45","2014","51"
"AcuteMedicalUnit.EAU","PRUH","ExitHospital","PRUH","13","2014","52"
"AcuteMedicalUnit.EAU","PRUH","ExitHospital","PRUH","11","2015","00"
"AcuteMedicalUnit.EAU","PRUH","ExitHospital","PRUH","39","2015","01"
"AcuteMedicalUnit.EAU","PRUH","ExitHospital","PRUH","34","2015","02"
"AcuteMedicalUnit.EAU","PRUH","ExitHospital","PRUH","38","2015","03"
"AcuteMedicalUnit.EAU","PRUH","ExitHospital","PRUH","30","2015","04"
"AcuteMedicalUnit.EAU","PRUH","ExitHospital","PRUH","36","2015","05"
"AcuteMedicalUnit.EAU","PRUH","ExitHospital","PRUH","31","2015","06"
"AcuteMedicalUnit.EAU","PRUH","ExitHospital","PRUH","21","2015","07"
"AcuteMedicalUnit.EAU","PRUH","ExitHospital","PRUH","34","2015","08"
"AcuteMedicalUnit.EAU","PRUH","ExitHospital","PRUH","38","2015","09"
"AcuteMedicalUnit.EAU","PRUH","ExitHospital","PRUH","28","2015","10"
"AcuteMedicalUnit.EAU","PRUH","ExitHospital","PRUH","28","2015","11"
"AcuteMedicalUnit.EAU","PRUH","ExitHospital","PRUH","29","2015","12"
"AcuteMedicalUnit.EAU","PRUH","ExitHospital","PRUH","27","2015","13"
"AcuteMedicalUnit.EAU","PRUH","ExitHospital","PRUH","34","2015","14"
"AcuteMedicalUnit.EAU","PRUH","ExitHospital","PRUH","34","2015","15"
"AcuteMedicalUnit.EAU","PRUH","ExitHospital","PRUH","29","2015","16"
"AcuteMedicalUnit.EAU","PRUH","ExitHospital","PRUH","36","2015","17"
"AcuteMedicalUnit.EAU","PRUH","ExitHospital","PRUH","32","2015","18"
"AcuteMedicalUnit.EAU","PRUH","ExitHospital","PRUH","37","2015","19"
"AcuteMedicalUnit.EAU","PRUH","ExitHospital","PRUH","40","2015","20"
"AcuteMedicalUnit.EAU","PRUH","ExitHospital","PRUH","24","2015","21"
"AcuteMedicalUnit.EAU","PRUH","ExitHospital","PRUH","26","2015","22"
"AcuteMedicalUnit.EAU","PRUH","ExitHospital","PRUH","30","2015","23"
